Ser No.,Al,Ti,V,Cr,Mn,Fe,Ni,Cu,Nb,Mo,Tot Vol Frac BCC,Tot Vol Frac FCC,Tot Vol Frac BCC+FCC,Tot Vol Frac Other,Liquidus,Term. Temp,Solidifcation Range
1,0.0001,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,0.5417386496860797,0.161854049107264,0.7035926987933436,0.29640730120665637,1616.61,827.4,789.2099999999999
2,1.25,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,0.59861662181909,0.140155261677269,0.738771883496359,0.261228116503641,1613.62,827.38,786.2399999999999
3,2.5,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,0.6844411546133998,0.152522539283933,0.8369636938973328,0.16303630610266717,1610.22,828.66,781.5600000000001
4,3.75,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,0.7138142040358227,0.133391558743571,0.8472057627793937,0.15279423722060625,1606.43,816.06,790.3700000000001
5,5.0,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,0.7271801601811075,0.116059048740375,0.8432392089214825,0.15676079107851748,1602.27,793.04,809.23
6,6.25,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,0.517630108695665,0.149618848268087,0.667248956963752,0.33275104303624803,1598.64,711.496,887.1440000000001
7,7.5,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,0.7746585442433209,0.0933824018332587,0.8680409460765797,0.13195905392342033,1592.77,766.64,826.13
8,8.75,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,0.6639796630671829,0.108277397797284,0.7722570608644669,0.22774293913553312,1587.85,738.88,848.9699999999999
9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.749087364807621,0.0841175384032676,0.8332049032108886,0.16679509678911142,1582.48,746.15,836.33
10,11.25,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,0.723413395589917,0.0775093857919604,0.8009227813818774,0.19907721861812255,1577.66,703.997,873.6630000000001
11,12.5,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,0.7688025900877669,0.0649868758212536,0.8337894659090205,0.16621053409097952,1570.96,712.465,858.495
12,13.75,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,0.8523007616766292,0.044632293910643,0.8969330555872722,0.10306694441272779,1564.83,746.13,818.6999999999999
13,15.0,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,0.8680934636351126,0.0357969546253274,0.90389041826044,0.09610958173955997,1558.46,745.02,813.44
14,16.25,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,0.885720895814333,0.020165335315697,0.90588623113003,0.09411376886997003,1551.83,756.41,795.42
15,17.5,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,0.8964449370577412,0.0056016708011661,0.9020466078589073,0.09795339214109267,1544.94,758.63,786.3100000000001
16,18.75,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,0.9129646878356016,0.0,0.9129646878356016,0.08703531216439842,1538.58,722.151,816.429
17,20.0,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,0.9060494565136868,0.0,0.9060494565136868,0.09395054348631315,1530.34,729.79,800.55
18,21.25,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,0.9088509305059865,0.0,0.9088509305059865,0.09114906949401347,1522.62,778.34,744.2799999999999
19,22.5,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,0.9105056576381843,0.0,0.9105056576381843,0.08949434236181575,1514.59,775.98,738.6099999999999
