Ser No.,C,Al,Cu,Fe,Mn,Ni,Ti,V,Cr,Mo,Nb,Zr,Liquidus,Term. Temp,Solidifcation Range,Tot Vol Frac BCC,Tot Vol Frac FCC,Tot Vol Frac BCC+FCC,Tot Vol Frac Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,0,0,10,0.1,41,43.9,5,0,0,0,0,0,989.31,864.21,125.1,0,0.990013066,0.990013066,0.009986934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,0,1.019533165,9,0.09,36.9,39.51,13.12046207,0.360004762,0,0,0,0,898.44,821.02,77.42,0.027715761,0.963461922,0.991177683,0.008822317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,0,2.039066331,8,0.08,32.8,35.12,21.24092415,0.720009524,0,0,0,0,900.65,810.86,89.79,0.413145882,0.580379665,0.993525547,0.006474453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,0,3.058599496,7,0.07,28.7,30.73,29.36138622,1.080014286,0,0,0,0,987.72,800.43,187.29,0.631532566,0.357868754,0.98940132,0.01059868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,0,4.078132662,6,0.06,24.6,26.34,37.48184829,1.440019047,0,0,0,0,1016.03,792.51,223.52,0.722142006,0.070259129,0.792401134,0.207598866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,0,5.097665827,5,0.05,20.5,21.95,45.60231036,1.800023809,0,0,0,0,1000.66,749.08,251.58,0.733186614,0,0.733186614,0.266813386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,0,6.117198992,4,0.04,16.4,17.56,53.72277244,2.160028571,0,0,0,0,969.47,748.71,220.76,0.860966832,0,0.860966832,0.139033168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,0,7.136732158,3,0.03,12.3,13.17,61.84323451,2.520033333,0,0,0,0,1195.62,749.37,446.25,0.922515396,0,0.922515396,0.077484604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,0,8.156265323,2,0.02,8.2,8.78,69.96369658,2.880038095,0,0,0,0,1387.66,748.8,638.86,0.95909606,0,0.95909606,0.04090394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,0,9.175798489,1,0.01,4.1,4.39,78.08415865,3.240042857,0,0,0,0,1547.38,763.05,784.33,0.981593407,0,0.981593407,0.018406593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,0,0,30.04630329,12.06694405,0,20.09247028,23.46357234,14.33071005,0,0,0,0,1122.97,887.92,235.05,0.218756865,0.102708238,0.321465103,0.678534897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,0,0,14,5,32,31,18,0,0,0,0,0,873.87,819.44,54.43,0.149752472,0.840801884,0.990554356,0.009445644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,0.022989902,0,12.6,11.41750863,28.90052485,28.84093577,16.2,0,2.018040845,0,0,0,1423.46,832.26,591.2,0.08042538,0.804111555,0.884536935,0.115463065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,0.045979804,0,11.2,17.83501727,25.8010497,26.68187154,14.4,0,4.03608169,0,0,0,1436.37,839.98,596.39,0.038430957,0.788340717,0.826771674,0.173228326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
