Ser No.,Al,Ti,V,Cr,Mn,Fe,Ni,Cu,Nb,Mo,Al_wt%,Ti_wt%,V_wt%,Cr_wt%,Mn_wt%,Fe_wt%,Ni_wt%,Cu_wt%,Nb_wt%,Mo_wt%,Liquidus,Term. Temp,Peak Cracking Index,Num. Sim. Steps,Vol. Frac At Term. BCC_B2,Start Temp. BCC_B2,Vol. Frac At Term. BCC_B2#2,Start Temp. BCC_B2#2,Vol. Frac At Term. C14_LAVES,Start Temp. C14_LAVES,Vol. Frac At Term. CR3SI_A15,Start Temp. CR3SI_A15,Vol. Frac At Term. FCC_L12,Start Temp. FCC_L12,Vol. Frac At Term. HEUSLER_L21,Start Temp. HEUSLER_L21,Vol. Frac At Term. MU_PHASE,Start Temp. MU_PHASE,Vol. Frac At Term. SIGMA,Start Temp. SIGMA
1,0.0001,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,4.24028475759111e-05,8.35822678171882,8.89516344693254,9.07920612827734,9.59291919138589,9.75129368093023,10.2485930703705,11.095992626885,16.2226464449907,16.7559162256615,1616.61,827.4,4765.60386835661,806,0.488860198770585,1616.61,0.0528784509154947,882.2,0.1680678194213,1241.3,0,0,0.161854049107264,914.54,0,0,0,0,0,0
2,1.25,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,0.533879030134316,8.31360748684646,8.84767778626052,9.03073797994586,9.54170865340153,9.6992376815539,10.1938823035803,11.0367581289645,16.1360439796302,16.6664669696824,1613.62,827.38,4096.07631927437,799,0.488422627700726,1613.62,0.110193994118364,871.41,0.160444536446207,1252.24,0,0,0.140155261677269,900.45,0,0,0,0,0,0
3,2.5,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,1.07555785311816,8.26833272319514,8.79949454916763,8.98155782220015,9.48974581960212,9.64641696631985,10.1383678217246,10.9766534612188,16.0481693020488,16.5757036814048,1610.22,828.66,39081.5230470866,801,0.64831269722923,1610.22,0.0361284573841698,868.69,0.136630074260159,1260.97,0,0,0.152522539283933,918.43,0,0,0,0,0.0169069789306014,960.9
4,3.75,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,1.62520865526404,8.22239164316392,8.75060219119762,8.9316538717269,9.43701823995946,9.5928188796559,10.0820363238185,10.9156642228779,15.9590013579248,16.483604614411,1606.43,816.06,40078.9950721068,811,0.708826139647336,1606.43,0.00498806438848683,909.35,0.135585666284364,1271.33,0,0,0.133391558743571,909.35,0,0,0,0,0.00741166807062367,942.11
5,5,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,2.18300872662305,8.175769428442,8.70098494210401,8.8810100319901,9.38350890717502,9.53842613348118,10.0248696401184,10.8537707418425,15.868511386108,16.3901400621157,1602.27,793.04,41329.9130029018,830,0.724766828349074,1602.27,0.00241333183203356,898.81,0.134931004746325,1280.18,0,0,0.116059048740375,898.81,0.00987829868631858,920.54,0,0,0.00170563752671737,911.51
6,6.25,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,2.74914065919498,8.12845081756947,8.65062656002307,8.8296097250787,9.32920030533837,9.48322092270598,9.96684905750528,10.7909527577093,15.7766697653312,16.2952794295437,1598.64,711.496,7243.77723313593,903,0.517630108695665,1598.64,0,0,0.16885305400509,1288.65,0,0,0.149618848268087,867.34,0.130432633301797,939.38,0,0,0,0
7,7.5,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,3.32379253567519,8.08042009016146,8.59951031468454,8.77743587456985,9.27407439182088,9.42718490682655,9.90795530014094,10.7271894008273,15.6834459835908,16.1989912017025,1592.77,766.64,7839.22899156088,839,0.495659208524389,1592.77,0.278999335718932,946.16,0.122095258073818,1295.77,0,0,0.0933824018332587,878.65,0,0,0,0,3.94011828540779e-05,781.62
8,8.75,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,3.90715814428225,8.0316610489523,8.54761896830234,8.72447088602427,9.21811257666747,9.37029918897657,9.84816850745101,10.662459168461,15.5888086032959,16.1012429075869,1587.85,738.88,85721.0813222645,877,0.660834356027884,1587.85,0.00314530703929898,857.23,0.133140144903567,1302.21,4.26368032144902e-06,790.25,0.108277397797284,852.44,0.0848360624193118,966.18,0,0,1.87498250151313e-05,767.39
9,10,10,10,10,10,10,10,10,10,10,4.49943719514737,7.98215700170926,8.49493475632634,8.67069662733981,9.1612957018385,9.31254429482637,9.78746821194814,10.5967399007796,15.4927252261642,16.0020010839205,1582.48,746.15,70870.957658953,858,0.744624754304429,1582.48,0.00446261050319209,919.49,0.118079192315465,1309.38,0,0,0.0841175384032676,853.46,0.0393427361721835,973.77,0,0,0,0
10,11.25,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,5.10083554777234,7.93189074222102,8.44143936720962,8.61609440810003,9.10360401938994,9.25390015040284,9.72583331592074,10.5300087556182,15.3951624563224,15.9012312370428,1577.66,703.997,117541.50012706,902,0.723413395589917,1577.66,0,0,0.119880770443943,1314.94,6.47652643809279e-05,818.12,0.0775093857919604,841.46,0.069104307318836,979.91,0,0,2.85538843817538e-05,732.63
